UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,BASE_ID,QUOTE_ID,TRANSFORM_FUNCTION,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
DAY,1627257600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,28.27,31.14,27.88,28.33,1627257622,1627343922,28.27,31.14,1627263869,27.88,1627335550,28.33,3000,1262,1738,0,115082.25942596,3426058.20357284,57223.76564064,1705806.635167,57858.49378532,1720251.56840586,0,0
DAY,1627344000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,28.33,28.97,26.94,28.13,1627344241,1627430394,28.07,28.97,1627390906,26.94,1627409167,28.13,1560,706,854,0,57110.01410297,1585506.11069891,28458.79701073,791524.682822922,28651.21709224,793981.42787601,0,0
DAY,1627430400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,28.13,28.75,27.38,27.83,1627430516,1627516785,28.06,28.75,1627474710,27.38,1627454702,27.83,1578,804,774,0,74923.21515248,2099573.54408915,39931.87481548,1119264.0666473,34991.340337,980309.47744191,0,0
DAY,1627516800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,27.83,31.85,27.38,31.25,1627517051,1627603066,27.76,31.85,1627590151,27.38,1627521795,31.25,1835,1135,700,0,70450.20575349,2090438.98510455,48000.49604554,1433169.09532256,22449.70970795,657269.889782054,0,0
DAY,1627603200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,31.25,33,30,32.42,1627603266,1627689553,31.3,33,1627617210,30,1627637361,32.42,2296,1208,1088,0,82274.80335871,2603270.29931336,52666.43811259,1679597.33644327,29608.36524612,923672.962870075,0,0
DAY,1627689600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,32.42,36.96,31.72,36.7,1627689667,1627775982,32.43,36.96,1627775948,31.72,1627709509,36.7,2655,1631,1024,0,80069.41540976,2726539.66511466,52196.35971764,1794257.37344278,27873.05569212,932282.291671914,0,0
DAY,1627776000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,36.7,40.78,33.17,34.32,1627776038,1627862309,36.77,40.78,1627823187,33.17,1627860531,34.32,2800,1262,1538,0,83650.47935883,2970156.13410621,42326.4244386,1516136.42260577,41324.05492023,1454019.71150024,0,0
DAY,1627862400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,34.32,35.87,33.07,33.21,1627862401,1627948659,34.15,35.87,1627888172,33.07,1627935576,33.21,1975,791,1184,0,53333.86134135,1822416.34056743,20417.93580986,703227.723930237,32915.92553149,1119188.61663712,0,0
DAY,1627948800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,33.21,35.8,32.39,34.07,1627948801,1628035168,33.18,35.8,1627995462,32.39,1627967709,34.07,2673,1151,1522,0,100235.38297462,3454307.61320821,49998.05967866,1731502.61280541,50237.32329596,1722805.00040272,0,0
DAY,1628035200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,34.07,36.65,33.22,35.77,1628035228,1628121586,34.07,36.65,1628116038,33.22,1628066771,35.77,2356,1203,1153,0,87916.79314556,3081246.18950943,46371.21213315,1640496.51635479,41545.58101241,1440749.67315459,0,0
